Subj	ROI	Cond	Y
02	lh_S_intrapariet_and_P_trans	prestim	0.0574454883778008
02	lh_S_intrapariet_and_P_trans	stim	0.113825728782905
02	lh_S_oc-temp_lat	prestim	0.0843354272352789
02	lh_S_oc-temp_lat	stim	0.152355078831237
02	lh_S_oc-temp_med_and_Lingual	prestim	0.0711431086117456
02	lh_S_oc-temp_med_and_Lingual	stim	0.172035713017541
02	lh_S_oc_middle_and_Lunatus	prestim	0.0678179378937114
02	lh_S_oc_middle_and_Lunatus	stim	0.0744012457611375
02	lh_S_oc_sup_and_transversal	prestim	0.0734559071320828
02	lh_S_oc_sup_and_transversal	stim	0.0924046991774213
02	lh_S_occipital_ant	prestim	0.0851912376963133
02	lh_S_occipital_ant	stim	0.0927254847645863
02	lh_S_orbital-H_Shaped	prestim	0.0819171578432054
02	lh_S_orbital-H_Shaped	stim	0.170134208179522
02	lh_S_orbital_lateral	prestim	0.0507405158152548
02	lh_S_orbital_lateral	stim	0.0889024543640036
02	lh_S_orbital_med-olfact	prestim	0.0875608709244136
02	lh_S_orbital_med-olfact	stim	0.172902630597606
02	lh_S_parieto_occipital	prestim	0.0660139145034557
02	lh_S_parieto_occipital	stim	0.103898736861542
02	lh_S_pericallosal	prestim	0.0659283842938672
02	lh_S_pericallosal	stim	0.068090142802877
02	lh_S_postcentral	prestim	0.0864667677108644
02	lh_S_postcentral	stim	0.0910993749911766
02	lh_S_precentral-inf-part	prestim	0.0690654146295625
02	lh_S_precentral-inf-part	stim	0.130051947268054
02	lh_S_precentral-sup-part	prestim	0.0629883019565232
02	lh_S_precentral-sup-part	stim	0.0920104013850019
02	lh_S_suborbital	prestim	0.0732561135188398
02	lh_S_suborbital	stim	0.071250112006403
02	lh_S_subparietal	prestim	0.0720797093637883
02	lh_S_subparietal	stim	0.107974070571976
02	lh_S_temporal_inf	prestim	0.0667214829130987
02	lh_S_temporal_inf	stim	0.106067739200039
02	lh_S_temporal_sup	prestim	0.0661037231411841
02	lh_S_temporal_sup	stim	0.0889952771377073
02	lh_S_temporal_transverse	prestim	0.0635061539160879
02	lh_S_temporal_transverse	stim	0.233084013500045
02	rh_G_Ins_lg_and_S_cent_ins	prestim	0.0910495705576125
02	rh_G_Ins_lg_and_S_cent_ins	stim	0.115625535109045
02	rh_G_and_S_cingul-Ant	prestim	0.0820805017613054
02	rh_G_and_S_cingul-Ant	stim	0.0617512788623742
02	rh_G_and_S_cingul-Mid-Ant	prestim	0.0991924690305269
02	rh_G_and_S_cingul-Mid-Ant	stim	0.087025558035091
02	rh_G_and_S_cingul-Mid-Post	prestim	0.085363750747556
02	rh_G_and_S_cingul-Mid-Post	stim	0.0769082061901181
02	rh_G_and_S_frontomargin	prestim	0.0780935689631708
02	rh_G_and_S_frontomargin	stim	0.0590951116255772
02	rh_G_and_S_occipital_inf	prestim	0.0595445445474006
02	rh_G_and_S_occipital_inf	stim	0.0764974829728485
02	rh_G_and_S_paracentral	prestim	0.0717736404160778
02	rh_G_and_S_paracentral	stim	0.0743025455014322
02	rh_G_and_S_subcentral	prestim	0.0727358849824535
02	rh_G_and_S_subcentral	stim	0.218869417358912
02	rh_G_and_S_transv_frontopol	prestim	0.0706178534702981
02	rh_G_and_S_transv_frontopol	stim	0.0973668383596109
02	rh_G_cingul-Post-dorsal	prestim	0.0720967090680066
02	rh_G_cingul-Post-dorsal	stim	0.07300311528846
02	rh_G_cingul-Post-ventral	prestim	0.0719227112147647
02	rh_G_cingul-Post-ventral	stim	0.0695613818712171
02	rh_G_cuneus	prestim	0.055191018090986
02	rh_G_cuneus	stim	0.0689549710822868
02	rh_G_front_inf-Opercular	prestim	0.0810905744634192
02	rh_G_front_inf-Opercular	stim	0.135244616209545
02	rh_G_front_inf-Orbital	prestim	0.0879501922859478
02	rh_G_front_inf-Orbital	stim	0.116955607883124
02	rh_G_front_inf-Triangul	prestim	0.0501280508216801
02	rh_G_front_inf-Triangul	stim	0.103161167671063
02	rh_G_front_middle	prestim	0.05756060185215
02	rh_G_front_middle	stim	0.062163144287572
02	rh_G_front_sup	prestim	0.0983532576811453
02	rh_G_front_sup	stim	0.0710354442186638
02	rh_G_insular_short	prestim	0.0513445425213817
02	rh_G_insular_short	stim	0.0923811087660851
02	rh_G_oc-temp_lat-fusifor	prestim	0.0655441811102734
02	rh_G_oc-temp_lat-fusifor	stim	0.094693094042316
02	rh_G_oc-temp_med-Lingual	prestim	0.0763746574812256
02	rh_G_oc-temp_med-Lingual	stim	0.0966935314006635
02	rh_G_oc-temp_med-Parahip	prestim	0.0592921107480871
02	rh_G_oc-temp_med-Parahip	stim	0.106381271062937
02	rh_G_occipital_middle	prestim	0.0793236953707315
02	rh_G_occipital_middle	stim	0.0838518564986864
02	rh_G_occipital_sup	prestim	0.071432187943786
02	rh_G_occipital_sup	stim	0.0938254112971169
02	rh_G_orbital	prestim	0.0636903377315051
02	rh_G_orbital	stim	0.167270743819453
02	rh_G_pariet_inf-Angular	prestim	0.0847982727533726
02	rh_G_pariet_inf-Angular	stim	0.0833604018076078
